"AmazonIpad_name","AmazonIpad_url","AmazonIpad_Price","AmazonIpad_Review","AmazonIpad_Getitby"
"Apple iPad 9.7"" (2017) 128GB Wi-Fi - Space Grey","https://www.amazon.com/Apple-iPad-9-7-128GB-Wi-Fi/dp/B079QWK3Y8/ref=sr_1_27/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-27&keywords=ipad","$ 429 95","4.2 out of 5 stars","Tue, Oct 23"
"[Sponsored]
Apple iPad 2 MC769LL/A Tablet ( iOS 7,16GB, WiFi) Black 2nd Generation - (Certified Refurbished)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_2?ie=UTF8&adId=A007703129SEKDMGS8DTR&url=https%3A%2F%2Fwww.amazon.com%2FApple-MC769LL-Tablet-Black-Generation%2Fdp%2FB073WRBH2N%2Fref%3Dsr_1_28_sspa%2F147-6626607-4408562%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116260%26sr%3D1-28-spons%26keywords%3Dipad%26psc%3D1%26smid%3DA5D2YZYFTU0CE&qualifier=1540116260&id=1246014817965555&widgetName=sp_btf","$ 114 99","3.8 out of 5 stars","Tue, Oct 23"
"[Sponsored]
Apple iPad with WiFi (2018 Model) (32 GB, Space Gray)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A06234424YYKK5B86JNX&url=https%3A%2F%2Fwww.amazon.com%2FApple-iPad-WiFi-Model-Space%2Fdp%2FB07D5QCWFZ%2Fref%3Dsr_1_29_sspa%2F147-6626607-4408562%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116260%26sr%3D1-29-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116260&id=1246014817965555&widgetName=sp_btf","$ 409 99","4.3 out of 5 stars","Wed, Oct 24"
"[Sponsored]
Apple iPad with WiFi (2018 Model) (128 GB, Space Gray)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg2_1?ie=UTF8&adId=A06231303RIY5J3NYU2ON&url=https%3A%2F%2Fwww.amazon.com%2FApple-iPad-WiFi-Model-Space%2Fdp%2FB07D5T28J7%2Fref%3Dsr_1_25_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116278%26sr%3D1-25-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116278&id=4140319782402936&widgetName=sp_atf_next","$ 504 99","4.3 out of 5 stars","Wed, Oct 24"
"[Sponsored]
SENGBIRCH Compatible Keyboard case iPad 9.7 2018 - iPad 9.7 2017 - iPad Air 2/1 - iPad Pro 9.7 - 7 Color Backlit Keyboard - 360 Rotation - Auto Weak and Sleep - iPad keyboard case, (9.7, Gold)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg2_2?ie=UTF8&adId=A02990177XBLKAXPPD94&url=https%3A%2F%2Fwww.amazon.com%2FSENGBIRCH-Compatible-Keyboard-case-iPad%2Fdp%2FB0787QB7X4%2Fref%3Dsr_1_26_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116278%26sr%3D1-26-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116278&id=4140319782402936&widgetName=sp_atf_next","$ 49 99","3.6 out of 5 stars","Tue, Oct 23"
"Apple iPad mini 4 (16GB, Wi-Fi, Space Gray)","https://www.amazon.com/Apple-iPad-mini-Wi-Fi-Space/dp/B016PW2W70/ref=sr_1_27?s=pc&ie=UTF8&qid=1540116278&sr=1-27&keywords=ipad","$ 399 00","4.6 out of 5 stars","Tue, Oct 23"
"Looking for a Tablet?","","","",""
"Apple iPad Air MD785LL/B 9.7-Inch 16GB Wi-Fi Tablet (Black with Space Gray) (Certified Refurbished)","https://www.amazon.com/Apple-MD785LL-9-7-Inch-Certified-Refurbished/dp/B01I5EAGYM/ref=sr_1_29?s=pc&ie=UTF8&qid=1540116278&sr=1-29&keywords=ipad","$ 159 95","5 out of 5 stars",""
"Apple iPad Mini 2 with Retina Display ME276LL/A (16GB, Wi-Fi, Black with Space Gray) (Certified Refurbished)","https://www.amazon.com/Apple-Display-ME276LL-Certified-Refurbished/dp/B00TA9FD2M/ref=sr_1_30?s=pc&ie=UTF8&qid=1540116278&sr=1-30&keywords=ipad","$ 148 00","3.8 out of 5 stars","Tue, Oct 23"
"Apple iPad with WiFi, 32GB, Space Gray (2018 Model)","https://www.amazon.com/Apple-iPad-WiFi-Space-Model/dp/B07BTS2KWK/ref=sr_1_31?s=pc&ie=UTF8&qid=1540116278&sr=1-31&keywords=ipad","$ 345 00","5 out of 5 stars",""
"Apple iPad MC706LL/A 32GB Wi-Fi Black 3rd Generation (Certified Refurbished)","https://www.amazon.com/Apple-MC706LL-Generation-Certified-Refurbished/dp/B00WXA2L4S/ref=sr_1_32?s=pc&ie=UTF8&qid=1540116278&sr=1-32&keywords=ipad","$ 149 99","3.9 out of 5 stars","Wed, Oct 24"
"Apple iPad with Retina Display MD510LL/A (16GB, Wi-Fi, Black) 4th Generation","https://www.amazon.com/Apple-Retina-Display-MD510LL-Generation/dp/B009W8YQ6K/ref=sr_1_33?s=pc&ie=UTF8&qid=1540116278&sr=1-33&keywords=ipad","$ 281 95","4.2 out of 5 stars","Tue, Oct 23"
"Apple iPad with WiFi (2018 Model) (32 GB, Gold)","https://www.amazon.com/Apple-iPad-WiFi-2018-Model/dp/B07D5S5LHF/ref=sr_1_34?s=pc&ie=UTF8&qid=1540116278&sr=1-34&keywords=ipad","$ 409 99","4.3 out of 5 stars","Wed, Oct 24"
"Apple iPad with Retina Display (32GB, Wi-Fi, White) 4th Generation (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Generation-Certified-Refurbished/dp/B00W4D1E7E/ref=sr_1_35?s=pc&ie=UTF8&qid=1540116278&sr=1-35&keywords=ipad","$ 179 95","3.3 out of 5 stars","Thu, Oct 25"
"Apple iPad Pro 9.7-inch (32GB, Wi-Fi, Gold) MLMQ2LL/A","https://www.amazon.com/Apple-iPad-9-7-inch-Wi-Fi-MLMQ2LL/dp/B01CGXU0GM/ref=sr_1_36?s=pc&ie=UTF8&qid=1540116278&sr=1-36&keywords=ipad","$ 448 95","4.6 out of 5 stars",""
